timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2019-06-15 13:31:47.417	473036755	start_recording
MSG	2019-06-15 13:31:47.418	473036755	image_on
MSG	2019-06-15 13:31:47.418	473036755	advertisment.jpg
MSG	2019-06-15 13:31:50.342	473038087	start_recording
MSG	2019-06-15 13:31:50.343	473038087	image_on
MSG	2019-06-15 13:31:50.343	473038087	bikinishop.jpg
2019-06-15 13:31:48.392	473038120	False	7	1085.5254	1558.5806	1278.9044	1222.3367	27.6721	1305.5127	1544.1707	1305.5127	1544.1707	27.1488	0.4563	0.3211	865.5382	1572.9904	862.0941	1610.5988	28.1954	0.6645	0.3
2019-06-15 13:31:48.426	473038154	False	7	1146.9946	1547.0808	1237.6028	1336.9432	27.8706	1384.8739	1545.0242	1345.2439	1544.598	26.7273	0.4546	0.3195	909.1154	1549.1375	877.8404	1589.9607	29.0139	0.663	0.2976
2019-06-15 13:31:48.459	473038187	False	7	1085.3431	1536.1865	1180.723	1395.7037	28.25	1300.7047	1527.9999	1330.4017	1539.0427	27.1185	0.4528	0.3202	869.9816	1544.373	875.9223	1578.3363	29.3815	0.6616	0.2982
2019-06-15 13:31:48.492	473038220	False	7	1185.9738	1603.5837	1116.166	1434.1388	25.3291	1546.205	1620.5222	1384.8278	1559.5737	24.5488	0.4524	0.3219	825.7425	1586.6453	865.7718	1579.854	26.1094	0.6607	0.2996
2019-06-15 13:31:48.526	473038254	False	7	1152.1987	1590.5959	1405.6051	1567.8225	26.09345	1485.549	1599.6625	1405.6051	1567.8225	25.2697	0.4518	0.3211	818.8486	1581.5294	818.8486	1581.5294	26.9172	0.6604	0.2986
2019-06-15 13:31:48.559	473038287	False	7	0.0	0.0	0.0	0.0	18.8061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.8061	0.6779	0.2999
2019-06-15 13:31:48.592	473038320	False	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2019-06-15 13:31:48.626	473038354	False	7	1520.121	-897.2297	1175.5436	1559.0073	17.7012	1520.121	-897.2297	1520.121	-897.2297	17.7012	0.4458	0.3207	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2019-06-15 13:31:48.659	473038387	False	7	1248.8909	1425.4513	1212.264	1492.1442	11.917	1248.8909	1425.4513	1248.8909	1425.4513	11.917	0.4534	0.3071	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2019-06-15 13:31:48.692	473038420	False	7	913.8582	840.1237	1150.5674	1322.7415	25.92505	797.0006	752.6629	1022.6575	1088.6279	26.2424	0.4544	0.2999	1030.7158	927.5844	1030.7158	927.5844	25.6077	0.6649	0.2786
2019-06-15 13:31:48.726	473038454	False	7	779.3896	587.3349	1097.4786	1220.4915	27.8904	779.3896	587.3349	940.8401	920.2491	27.8904	0.455	0.2947	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2019-06-15 13:31:48.759	473038487	False	7	952.4568	652.0018	1070.2356	1139.6949	27.548299999999998	825.5768	640.0418	911.1719	848.5086	26.5235	0.4561	0.2971	1079.3368	663.9619	1055.0574	795.605	28.5731	0.6674	0.2745
2019-06-15 13:31:48.792	473038520	False	7	952.2902	658.8761	978.1592	779.6743	27.5003	831.5316	649.1562	894.3524	806.7565	26.3618	0.4569	0.2928	1073.0488	668.5961	1061.1212	752.8651	28.6388	0.6687	0.271
2019-06-15 13:31:48.825	473038553	False	7	957.7149	660.6451	1066.9635	730.6401	27.606099999999998	831.3591	655.2369	831.3591	655.2369	26.5322	0.4574	0.293	1084.0707	666.0533	1066.9635	730.6401	28.68	0.6696	0.2713
2019-06-15 13:31:48.859	473038587	False	7	950.6177	669.7063	1004.9838	706.1826	27.48345	834.264	645.7972	834.264	645.7972	26.1978	0.4573	0.2953	1066.9713	693.6153	1067.0426	722.7291	28.7691	0.6697	0.2744
2019-06-15 13:31:48.892	473038620	False	7	958.7697	678.2098	949.468	686.9086	27.69995	844.6331	651.6531	839.4551	648.7289	26.6237	0.4563	0.2926	1072.9064	704.7665	1072.9064	704.7665	28.7762	0.6688	0.2715
2019-06-15 13:31:48.925	473038653	False	7	952.2672	672.9714	953.9755	683.4895	27.4981	832.5775	653.7886	837.1617	650.4277	26.3382	0.4541	0.2962	1071.957	692.1542	1071.957	692.1542	28.658	0.6666	0.2745
2019-06-15 13:31:48.959	473038687	False	7	955.9057	636.7212	950.1402	677.2198	26.9876	835.2629	655.0512	836.6805	651.604	26.2793	0.4512	0.2967	1076.5485	618.3912	1074.2556	655.2256	27.6959	0.6636	0.273
2019-06-15 13:31:48.992	473038720	True	7	970.3772	684.2693	971.8849	675.4945	27.381549999999997	853.0382	675.2562	839.9975	656.4219	26.2492	0.4483	0.2945	1087.7162	693.2823	1078.7655	667.9026	28.5139	0.6606	0.2702
2019-06-15 13:31:49.025	473038753	True	7	894.7038	622.2634	985.2875	672.4697	26.00865	776.4069	624.232	829.175	650.9842	24.9927	0.4453	0.2994	1013.0007	620.2949	1062.1976	655.8964	27.0246	0.6573	0.2735
